SPEC,LONG,LAT
Trufum,-81.5859,27.9014
Trufum,-81.5306,27.74591
Trufum,-80.53206,35.247486
Trufum,-90.551812,43.985328
Trufum,-83.71444,33.791576
Trufum,-83.51407,33.94568
Trufum,-83.59734,33.96456
Trufum,-83.61239,33.62592
Trufum,-83.71379,33.93201
Trufum,-83.388489,33.326832
Trufum,-83.72217,33.99971
Trufum,-83.98801,33.9562
Trufum,-83.546555,33.002609
Trufum,-83.71945,33.849686
Trufum,-78.65312,35.788723
Trufum,-94.513329,37.084259
Trufum,-94.56553,37.17676
Trufum,-94.51071,37.066338
Trufum,-76.67119,39.545654
Trufum,-76.3705,36.8105
Trufum,-86.637701,32.90678
Trufum,-86.132496,32.58873
Trufum,-86.21187,32.54373
Trufum,-86.0943,32.32387
Trufum,-86.55918,32.33014
Trufum,-86.31337,32.33194
Trufum,-86.36187,32.479839
Trufum,-86.26907,32.33604
Trufum,-86.34467,32.58403
Trufum,-83.182381,33.575729
Trufum,-76.80963,38.92084
Trufum,-93.278573,30.320382
Trufum,-93.225503,30.216523
Trufum,-93.22412,30.331104
Trufum,-83.88987,35.92068
Trufum,-93.23052,30.17661
Trufum,-96.005005,33.80702
Trufum,-81.603256,26.282339
Trufum,-81.87231,26.64065
Trufum,-81.941217,26.85832
Trufum,-81.52961,26.709134
Trufum,-72.32893,41.3159
Trufum,-79.70042,35.93267
Trufum,-91.75191,36.22531
Trufum,-91.541916,36.256943
Trufum,-77.699386,38.811043
Trufum,-77.34031,38.96391
Trufum,-76.5536,38.9914
Trufum,-86.15297,30.76231
Trufum,-86.61885,30.4058
Trufum,-86.23468,30.362375
Trufum,-86.273968,30.371167
Trufum,-86.654663,30.413151
Trufum,-86.57055,30.76209
Trufum,-86.619247,30.413601
Trufum,-86.22884,30.396
Trufum,-97.4067,35.5658
Trufum,-77.47751,37.23045
Trufum,-82.46149,34.64662
Trufum,-81.36179,28.7027
Trufum,-84.32606,33.58679
Trufum,-82.2996,27.9141
Trufum,-83.03978,30.25391
Trufum,-83.27847,30.8327
Trufum,-83.86738,30.54595
Trufum,-83.63279,30.465923
Trufum,-79.113495,42.605673
Trufum,-85.136816,36.006449
Trufum,-85.88034,36.244338
Trufum,-85.4537,36.15141
Trufum,-85.64354,36.155575
Trufum,-85.850269,36.09779
Trufum,-85.84998,36.53336
Trufum,-85.65888,36.35566
Trufum,-85.968089,36.005827
Trufum,-85.26827,36.14756
Trufum,-86.271454,35.053654
Trufum,-80.205513,41.124821
Trufum,-80.739241,41.075289
Trufum,-80.594502,41.943788
Trufum,-78.47999,38.01723
Trufum,-83.559696,45.97634
Trufum,-83.619851,45.351953
Trufum,-78.46463,36.024902
Trufum,-84.334633,33.946201
Trufum,-93.568688,42.093322
Trufum,-93.62242,42.19762
Trufum,-93.315208,42.017764
Trufum,-93.5688,42.0553
Trufum,-84.55244,35.93397
Trufum,-84.17211,35.66118
Trufum,-81.31449,29.89465
Trufum,-81.681472,29.95151
Trufum,-80.900785,35.464035
Trufum,-81.6376,29.64855
Trufum,-81.33932,29.9174
Trufum,-81.88567,29.367823
Trufum,-81.22736,29.533833
Trufum,-81.43673,29.779156
Trufum,-75.473849,39.259528
Trufum,-75.463498,39.254643
Trufum,-75.763313,39.284711
Trufum,-75.407297,39.086353
Trufum,-75.8586,39.6292
Trufum,-75.25612,39.885289
Trufum,-75.387852,39.907793
Trufum,-75.473325,39.259997
Trufum,-75.144134,39.496241
Trufum,-75.166664,39.950001
Trufum,-94.008873,41.332022
Trufum,-94.008791,41.331973
Trufum,-77.94498,34.2255
Trufum,-85.008243,35.254546
Trufum,-81.19133,34.070637
Trufum,-78.7133,35.76661
Trufum,-86.818146,33.51272
Trufum,-81.099212,28.47998
Trufum,-81.41403,28.66519
Trufum,-81.544856,28.349549
Trufum,-95.51671,29.68013
Trufum,-81.61781,28.86183
Trufum,-81.29038,28.79767
Trufum,-81.31041,28.89021
Trufum,-81.30059,28.947115
Trufum,-81.213646,28.288012
Trufum,-81.35663,28.51275
Trufum,-83.34338,33.93182
Trufum,-83.715996,34.74353
Trufum,-83.95821,34.87619
Trufum,-83.90828,34.18662
Trufum,-83.895134,34.237568
Trufum,-83.103862,34.284556
Trufum,-83.105225,34.436
Trufum,-83.8264,34.30689
Trufum,-83.8028,34.627
Trufum,-83.9882,34.53222
Trufum,-83.463646,34.559074
Trufum,-84.561516,41.30185
Trufum,-83.12501,34.066692
Trufum,-80.661285,32.908573
Trufum,-77.1489,38.76153
Trufum,-77.3457,38.5863
Trufum,-76.49471,38.45441
Trufum,-87.743935,41.602814
Trufum,-92.4177,35.5212
Trufum,-92.38584,35.22061
Trufum,-92.293106,35.61281
Trufum,-92.46644,35.193386
Trufum,-92.18958,35.648705
Trufum,-92.62986,35.00119
Trufum,-92.31936,35.65618
Trufum,-92.43534,35.08612
Trufum,-97.42361,35.86551
Trufum,-97.59495,35.953064
Trufum,-77.52957,37.71659
Trufum,-77.2433,37.2167
Trufum,-77.74448,37.150986
Trufum,-96.365067,46.471425
Trufum,-81.521948,41.012625
Trufum,-80.89463,34.12982
Trufum,-95.89994,33.24701
Trufum,-84.49073,34.2368
Trufum,-84.95104,34.50259
Trufum,-95.42514,29.8286
Trufum,-100.638392,36.220265
Trufum,-83.31756,32.90056
Trufum,-73.965355,40.782865
Trufum,-73.971153,40.778835
Trufum,-73.96891,40.778431
Trufum,-84.375847,33.783713
Trufum,-84.29421,33.77094
Trufum,-76.426373,37.544116
Trufum,-79.36565,34.415653
Trufum,-79.550095,34.87193
Trufum,-79.024017,34.986994
Trufum,-79.224693,34.991329
Trufum,-79.224335,34.991756
Trufum,-79.683901,34.278989
Trufum,-79.13345,34.62915
Trufum,-79.46287,34.77406
Trufum,-79.40057,34.17826
Trufum,-79.749504,34.12821
Trufum,-80.65589,35.32374
Trufum,-80.82874,35.19618
Trufum,-80.78728,35.48075
Trufum,-80.810089,35.584839
Trufum,-89.69068,34.8723
Trufum,-72.596978,43.901114
Trufum,-81.39557,28.575605
Trufum,-81.44116,28.57498
Trufum,-75.6062,38.6391
Trufum,-81.52614,33.479595
Trufum,-82.570351,35.612866
Trufum,-78.716043,35.810617
Trufum,-78.34729,35.511818
Trufum,-86.57749,33.9909
Trufum,-86.78953,33.32425
Trufum,-86.10829,33.11527
Trufum,-95.19658,32.65687
Trufum,-83.87418,33.67915
Trufum,-83.108536,33.7707
Trufum,-83.8843,34.2276
Trufum,-82.436867,27.534927
Trufum,-82.642921,27.84499
Trufum,-82.14577,27.06844
Trufum,-82.27561,27.9836
Trufum,-80.379166,36.166855
Trufum,-80.32033,36.433662
Trufum,-80.43313,36.005325
Trufum,-80.311004,36.048682
Trufum,-80.31769,36.08986
Trufum,-80.316063,36.139172
Trufum,-80.264786,36.045692
Trufum,-80.38198,36.02154
Trufum,-80.85234,36.256744
Trufum,-80.18407,36.06097
Trufum,-84.01771,33.66761
Trufum,-84.46266,33.40354
Trufum,-84.374138,33.784687
Trufum,-84.28404,33.84754
Trufum,-84.54993,33.9526
Trufum,-84.93342,33.7069
Trufum,-84.38752,33.49384
Trufum,-84.447209,33.883243
Trufum,-84.262985,33.773075
Trufum,-84.39221,33.66374
Trufum,-87.633137,41.9632
Trufum,-93.39061,31.212028
Trufum,-93.48061,31.565735
Trufum,-93.08626,31.76076
Trufum,-93.30457,31.69047
Trufum,-93.3131,31.322332
Trufum,-77.6615,37.4843
Trufum,-77.52785,37.66246
Trufum,-95.924408,37.77132
